t,map2base_x,map2base_y,map2base_yaw,map2odom_x,map2odom_y,map2odom_yaw,odom2base_x,odom2base_y,odom2base_yaw
0.0000,0.056730,0.002829,-0.068717,0.162627,0.053996,-0.123161,-0.097896,-0.058588,0.054078
0.1382,0.056730,0.002829,-0.068717,0.162627,0.053996,-0.123161,-0.097896,-0.058588,0.054078
0.1716,0.056730,0.002829,-0.068717,0.162898,0.055190,-0.123019,-0.097896,-0.058588,0.054078
0.2049,0.056571,0.002405,-0.068834,0.160890,0.054246,-0.123235,-0.097813,-0.058481,0.054009
0.2383,0.056571,0.002405,-0.068834,0.160876,0.054225,-0.123230,-0.097813,-0.058481,0.054009
0.2716,0.056571,0.002405,-0.068834,0.160862,0.054205,-0.123225,-0.097813,-0.058481,0.054009
0.3050,0.056265,0.002358,-0.068746,0.161455,0.055459,-0.123041,-0.097841,-0.058471,0.054062
0.3383,0.056265,0.002358,-0.068746,0.161436,0.055466,-0.123034,-0.097841,-0.058471,0.054062
0.3716,0.054253,0.001556,-0.069038,0.161963,0.056186,-0.123058,-0.097826,-0.058316,0.053970
0.4050,0.054253,0.001556,-0.069038,0.161984,0.056236,-0.123079,-0.097826,-0.058316,0.053970
0.4383,0.054837,0.002773,-0.068821,0.161463,0.055532,-0.123113,-0.097830,-0.058328,0.053998
0.4716,0.055429,0.003293,-0.068781,0.162759,0.056091,-0.122934,-0.097726,-0.058538,0.054066
0.5050,0.055429,0.003293,-0.068781,0.162777,0.056078,-0.122933,-0.097726,-0.058538,0.054066
0.5383,0.055357,0.003450,-0.068835,0.162662,0.055979,-0.122933,-0.097827,-0.058434,0.054027
0.5716,0.055357,0.003450,-0.068835,0.162659,0.055959,-0.122923,-0.097827,-0.058434,0.054027
0.6050,0.055357,0.003450,-0.068835,0.162655,0.055932,-0.122909,-0.097827,-0.058434,0.054027
0.6383,0.056007,0.003246,-0.068687,0.161134,0.054937,-0.123004,-0.097949,-0.058494,0.054028
0.6716,0.056007,0.003246,-0.068687,0.161116,0.054917,-0.122997,-0.097949,-0.058494,0.054028
0.7049,0.055828,0.003056,-0.068716,0.161615,0.054049,-0.123149,-0.098014,-0.058550,0.053983
0.7383,0.055828,0.003056,-0.068716,0.161592,0.054026,-0.123151,-0.098014,-0.058550,0.053983
0.7716,0.054533,0.002119,-0.068701,0.162705,0.055547,-0.122984,-0.097809,-0.058461,0.054080
0.8050,0.054533,0.002119,-0.068701,0.162739,0.055552,-0.122971,-0.097809,-0.058461,0.054080
0.8383,0.054977,0.001252,-0.068876,0.162909,0.054135,-0.123322,-0.097843,-0.058452,0.054053
0.8716,0.056173,0.002806,-0.068833,0.164366,0.056281,-0.123109,-0.097765,-0.058394,0.053926
0.9050,0.056173,0.002806,-0.068833,0.164420,0.056305,-0.123120,-0.097765,-0.058394,0.053926
0.9382,0.056173,0.002806,-0.068833,0.164461,0.056323,-0.123128,-0.097765,-0.058394,0.053926
0.9716,0.056724,0.001262,-0.068141,0.162763,0.051626,-0.122606,-0.097057,-0.059870,0.054612
1.0049,0.056724,0.001262,-0.068141,0.162894,0.051282,-0.122480,-0.097057,-0.059870,0.054612
1.0383,0.058098,0.003508,-0.069008,0.162433,0.055534,-0.123565,-0.097522,-0.058391,0.053892
1.0717,0.058098,0.003508,-0.069008,0.162482,0.055532,-0.123589,-0.097522,-0.058391,0.053892
1.1050,0.056471,-0.001212,-0.068510,0.161085,0.054023,-0.123458,-0.097571,-0.058276,0.053831
1.1382,0.056471,-0.001212,-0.068510,0.161116,0.054033,-0.123472,-0.097571,-0.058276,0.053831
1.1716,0.056261,0.002766,-0.069471,0.162133,0.056853,-0.123789,-0.097383,-0.058361,0.053878
1.2049,0.056261,0.002766,-0.069471,0.162114,0.057099,-0.123913,-0.097383,-0.058361,0.053878
1.2382,0.054940,0.001370,-0.069415,0.161837,0.055064,-0.123117,-0.097345,-0.058253,0.053820
1.2716,0.054940,0.001370,-0.069415,0.161866,0.055080,-0.123127,-0.097345,-0.058253,0.053820
