t,map2base_x,map2base_y,map2base_yaw,map2odom_x,map2odom_y,map2odom_yaw,odom2base_x,odom2base_y,odom2base_yaw
0.0000,0.058968,0.018521,-0.064691,0.170847,0.055031,-0.113120,-0.105114,-0.041869,0.048320
0.1246,0.058968,0.018521,-0.064691,0.170847,0.055031,-0.113120,-0.105114,-0.041869,0.048320
0.1581,0.058968,0.018521,-0.064691,0.171599,0.057119,-0.113183,-0.105114,-0.041869,0.048320
0.1915,0.060340,0.018144,-0.064645,0.171592,0.057133,-0.113202,-0.105056,-0.041899,0.048370
0.2247,0.060340,0.018144,-0.064645,0.171693,0.056850,-0.113212,-0.105056,-0.041899,0.048370
0.2581,0.060340,0.018144,-0.064645,0.171701,0.056823,-0.113215,-0.105056,-0.041899,0.048370
0.2914,0.060349,0.018443,-0.064602,0.171572,0.056786,-0.113213,-0.105142,-0.041944,0.048420
0.3247,0.060349,0.018443,-0.064602,0.171562,0.056750,-0.113206,-0.105142,-0.041944,0.048420
0.3580,0.061001,0.019981,-0.064612,0.172536,0.053304,-0.113942,-0.105203,-0.041915,0.048478
0.3914,0.061001,0.019981,-0.064612,0.172525,0.053290,-0.113933,-0.105203,-0.041915,0.048478
0.4247,0.060927,0.019679,-0.064559,0.173758,0.053300,-0.113985,-0.105127,-0.042142,0.048530
0.4581,0.060927,0.019679,-0.064559,0.173756,0.053267,-0.113966,-0.105127,-0.042142,0.048530
0.4914,0.061840,0.016480,-0.065418,0.173842,0.053434,-0.113959,-0.105152,-0.041944,0.048401
0.5247,0.063069,0.016538,-0.065467,0.168602,0.053509,-0.114248,-0.105162,-0.041903,0.048396
0.5581,0.063069,0.016538,-0.065467,0.168609,0.053510,-0.114260,-0.105162,-0.041903,0.048396
0.5914,0.063118,0.016510,-0.065414,0.168663,0.053609,-0.114273,-0.105114,-0.041887,0.048429
0.6247,0.063118,0.016510,-0.065414,0.168681,0.053633,-0.114263,-0.105114,-0.041887,0.048429
0.6581,0.063118,0.016510,-0.065414,0.168694,0.053651,-0.114255,-0.105114,-0.041887,0.048429
0.6914,0.058047,0.016644,-0.065681,0.173262,0.054611,-0.113792,-0.105016,-0.042037,0.048450
0.7248,0.058155,0.016739,-0.065654,0.172083,0.054307,-0.113845,-0.104981,-0.042055,0.048487
0.7581,0.058155,0.016739,-0.065654,0.172101,0.054294,-0.113835,-0.104981,-0.042055,0.048487
0.7914,0.058155,0.016739,-0.065654,0.172118,0.054280,-0.113825,-0.104981,-0.042055,0.048487
0.8247,0.060119,0.011723,-0.063763,0.173140,0.054752,-0.113274,-0.102472,-0.046842,0.050362
0.8581,0.060119,0.011723,-0.063763,0.173437,0.053997,-0.112982,-0.102472,-0.046842,0.050362
0.8914,0.062021,0.016003,-0.064705,0.172058,0.057017,-0.112691,-0.104417,-0.043326,0.048997
0.9247,0.062664,0.017293,-0.064518,0.170827,0.056320,-0.113248,-0.104910,-0.042419,0.048600
0.9581,0.062664,0.017293,-0.064518,0.170830,0.056264,-0.113230,-0.104910,-0.042419,0.048600
0.9915,0.063109,0.016568,-0.064268,0.170200,0.058943,-0.113211,-0.104824,-0.042254,0.048522
1.0248,0.063109,0.016568,-0.064268,0.170093,0.059362,-0.113398,-0.104824,-0.042254,0.048522
1.0581,0.060537,0.019472,-0.064782,0.169258,0.058810,-0.113614,-0.104731,-0.041859,0.048327
1.0914,0.060537,0.019472,-0.064782,0.169236,0.059063,-0.113733,-0.104731,-0.041859,0.048327
1.1248,0.060537,0.019472,-0.064782,0.169206,0.059401,-0.113892,-0.104731,-0.041859,0.048327
1.1581,0.060045,0.021864,-0.064716,0.169989,0.057467,-0.113950,-0.104536,-0.042165,0.048399
1.1914,0.059112,0.022012,-0.065185,0.170057,0.057476,-0.113978,-0.104460,-0.042160,0.048446
1.2247,0.059112,0.022012,-0.065185,0.170501,0.054979,-0.113289,-0.104460,-0.042160,0.048446
1.2581,0.059340,0.021815,-0.065307,0.170466,0.054881,-0.113299,-0.104370,-0.042180,0.048457
1.2914,0.059340,0.021815,-0.065307,0.170502,0.054875,-0.113286,-0.104370,-0.042180,0.048457
1.3247,0.060238,0.017986,-0.064693,0.171738,0.054795,-0.113091,-0.104518,-0.042282,0.048533
1.3582,0.060238,0.017986,-0.064693,0.171738,0.054780,-0.113071,-0.104518,-0.042282,0.048533
1.3914,0.060238,0.017986,-0.064693,0.171738,0.054765,-0.113051,-0.104518,-0.042282,0.048533
1.4247,0.060167,0.017376,-0.064554,0.171124,0.054284,-0.113020,-0.104633,-0.042520,0.048610
1.4580,0.060167,0.017376,-0.064554,0.171056,0.054219,-0.112987,-0.104633,-0.042520,0.048610
1.4914,0.061385,0.016833,-0.064160,0.170489,0.055564,-0.112606,-0.104646,-0.042935,0.048775
1.5247,0.061385,0.016833,-0.064160,0.170425,0.055448,-0.112552,-0.104646,-0.042935,0.048775
