t,phase,cmd_v,cmd_w,applied_v,applied_w,wo_x,wo_y,wo_yaw,mb_x,mb_y,mb_yaw
0.3005,drive,-0.065,0.0,nan,nan,0.906902458019453,-0.33393714668377805,-0.12117116029834145,-4.172063522629334,-1.2465290537770022,2.177921462206669
0.3005,drive,-0.065,0.0,nan,nan,0.906902458019453,-0.33393714668377805,-0.12117116029834145,-4.172063522629334,-1.2465290537770022,2.177921462206669
0.4008,drive,-0.065,0.0,-0.06483381206401313,0.0,0.906902458019453,-0.33393714668377805,-0.12117116029834145,-4.1731932755296,-1.244488677773453,2.177978216676339
0.5007,drive,-0.065,0.0,-0.06483381206401313,0.0,0.9051714763020804,-0.3337248848299685,-0.12286079799174462,-4.172653977110535,-1.2444678681506662,2.1764064125015814
0.6007,drive,-0.065,0.0,-0.06483381206401313,0.0,0.9000298620552115,-0.33309092919205496,-0.12249873277172968,-4.171753719885191,-1.2459442659763005,2.173048688328433
0.7007,drive,-0.065,0.0,-0.06483381206401313,0.0,0.8937681060584686,-0.33232039562751625,-0.12237804436505802,-4.165751441795558,-1.254746019251051,2.1732486368597126
0.8007,drive,-0.065,0.0,-0.06483381206401313,0.0,0.8863863611842594,-0.33141204305143407,-0.1224987327717297,-4.157192984936768,-1.2667448787375606,2.173165040975437
0.9007,drive,-0.065,0.0,-0.06483381206401313,0.0,0.8791575032237261,-0.33052117530331104,-0.12274010958507299,-4.15119767935505,-1.2771885125511366,2.1779319027989463
1.0007,drive,-0.065,0.0,-0.06483381206401313,0.0,0.872488676824322,-0.3296989160105718,-0.12261942117840136,-4.147155670665636,-1.2814210899268559,2.1777238540885557
1.1007,drive,-0.065,0.0,-0.06483381206401313,0.0,0.8660743380706093,-0.328908427727026,-0.12261942117840136,-4.143533251270425,-1.2878652759346223,2.1752882925960444
1.2007,drive,-0.065,0.0,-0.06483381206401313,0.0,0.8598127682452146,-0.3281363827422403,-0.12274010958507299,-4.140126503717753,-1.2923859279205805,2.1744565222484287
1.3007,drive,-0.065,0.0,-0.06483381206401313,0.0,0.8531440411315421,-0.3273133186054588,-0.12286079799174464,-4.135339182464654,-1.2992208660515443,2.174225229642421
1.4007,drive,-0.065,0.0,-0.06483381206401313,0.0,0.8465772245111299,-0.32650202778881965,-0.12298148639841631,-4.133962570210664,-1.3019923127046864,2.1743693595585776
1.5007,drive,-0.065,0.0,-0.06483381206401313,0.0,0.839857741332587,-0.32567146426051535,-0.12298148639841631,-4.129869091490302,-1.3071097619202665,2.17388894392452
1.6007,drive,-0.065,0.0,-0.06483381206401313,0.0,0.8333419761057095,-0.324865282940785,-0.12322286321175961,-4.125249915435135,-1.31460862215429,2.1755742894063794
1.7007,drive,-0.065,0.0,-0.06483381206401313,0.0,0.827029828542172,-0.32408429478729617,-0.12298148639841631,-4.1229255605218045,-1.3183062304436304,2.175544857047382
1.8007,drive,-0.065,0.0,-0.06483381206401313,0.0,0.8206156807808589,-0.32329225825414537,-0.12274010958507299,-4.118281476550423,-1.3247114629461245,2.176242789907265
1.9007,drive,-0.065,0.0,-0.06483381206401313,0.0,0.8139469536671864,-0.3224691941173639,-0.12286079799174464,-4.114750991685834,-1.3284077512384838,2.1752585651371183
2.0007,drive,-0.065,0.0,-0.06483381206401313,0.0,0.8071765148259863,-0.3216327469963328,-0.12298148639841631,-4.1103073277603235,-1.3334566214774368,2.1747391978896475
2.1007,drive,-0.065,0.0,-0.06483381206401313,0.0,0.8006606523498234,-0.3208273520597953,-0.12298148639841631,-4.1062692022534435,-1.3402727889717079,2.175445002608186
2.2007,drive,-0.065,0.0,-0.06483381206401313,0.0,0.7940938357294113,-0.3200160612431561,-0.12286079799174464,-4.103946786479291,-1.3438053158868657,2.1752106565875415
2.3007,drive,-0.065,0.0,-0.06483381206401313,0.0,0.7874761629020584,-0.3191980820107352,-0.12310217480508794,-4.098940712368564,-1.352094604731484,2.174438214198569
2.4007,drive,-0.065,0.0,-0.06483381206401313,0.0,0.7808077342283829,-0.3183726034138051,-0.1232228632117596,-4.095619050279657,-1.3580257226065982,2.174295359981563
2.5007,drive,-0.065,0.0,-0.06483381206401313,0.0,0.77419006140103,-0.31755462418138414,-0.12274010958507298,-4.0910458384413255,-1.3635540213928663,2.174837138433801
2.6007,drive,-0.065,0.0,-0.06483381206401313,0.0,0.7676741017704898,-0.3167500156397706,-0.1229814863984163,-4.088761815565577,-1.3662619510685894,2.174468225945389
2.7007,drive,-0.065,0.0,-0.06483381206401313,0.0,0.7610566265771375,-0.3159304390784153,-0.12346424002510292,-4.0835046493594,-1.3746730438240242,2.1741084394296557
2.8007,drive,-0.065,0.0,-0.06483381206401313,0.0,0.7546429579317626,-0.31513453212333903,-0.12346424002510292,-4.080007050027776,-1.379801744014645,2.1733265182260086
2.9007,drive,-0.065,0.0,-0.06483381206401313,0.0,0.7478728223827393,-0.3142956337167583,-0.12310217480508794,-4.078015625805222,-1.3827193780622262,2.1754480220259684
3.0007,drive,-0.065,0.0,-0.06483381206401313,0.0,0.7413570571558619,-0.3134894523970279,-0.12310217480508794,-4.072566720476116,-1.3884119095161065,2.175471606755491
3.1007,drive,-0.065,0.0,-0.06483381206401313,0.0,0.7346887281564479,-0.31266316900408,-0.12346424002510292,-4.070181405986687,-1.3942929266657726,2.175308830648652
