t,phase,cmd_v,cmd_w,applied_v,applied_w,wo_x,wo_y,wo_yaw,mb_x,mb_y,mb_yaw
0.3005,drive,0.0,0.1,nan,nan,nan,nan,nan,6.290808026444917,6.7780084928899695,-0.8573886277682499
0.3009,drive,0.0,0.1,nan,nan,nan,nan,nan,6.290808026444917,6.7780084928899695,-0.8573886277682499
0.4009,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.291281451847298,6.7778700718988585,-0.8573366930172428
0.5008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.290173403290573,6.78003310969726,-0.8573105449172923
0.6008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.2907217787166765,6.780153048606697,-0.8570613729181882
0.7008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.29161672382978,6.784142991531405,-0.8466129657776176
0.8008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.290627270465037,6.783950325794616,-0.8342699477727691
0.9007,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.291904527108114,6.7781688940801965,-0.8008023505956448
1.0008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.290680616718565,6.777836062901587,-0.7944551364423893
1.1007,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.287820130039469,6.774274877351288,-0.7767953973288096
1.2007,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.286632078477706,6.78600188628115,-0.7621951940720609
1.3007,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.289573924542753,6.790915867227187,-0.7497075870772556
1.4009,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.293161369751936,6.790648777925,-0.7474038681139901
1.5008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.292868777592597,6.785252746211536,-0.730665140736499
1.6008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.294624115307027,6.788032015158595,-0.7152681642184193
1.7008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.289740659690756,6.780925161423935,-0.6937228793716205
1.8008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.291413970046771,6.783623483740606,-0.6943334808300506
1.9007,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.2929887548891505,6.792282130916448,-0.6801440241854001
2.0011,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.293714340083873,6.792707870545593,-0.6641727292529045
2.1008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.293210765231535,6.792618651021061,-0.6481303928763702
2.2008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.295426495060891,6.788802660716295,-0.6443816432070121
2.3007,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.2989135378272625,6.788716771427419,-0.6284830535351064
2.4008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.298986580139268,6.791759325879436,-0.6160293109050199
2.5009,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.2975501757279515,6.793131045748836,-0.6150867327409341
2.6008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.298420504397402,6.793139902179636,-0.5987906308890907
2.7008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.29641233995239,6.78633691497721,-0.5823364504995422
2.8008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.297883560453755,6.787224460629499,-0.5827714119636211
2.9008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.2991294207511626,6.791395442818546,-0.5661580239569388
3.0008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.3009287615236005,6.795332807893999,-0.5505983847249669
3.1007,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.300384295408158,6.798243095407873,-0.5324102703175099
3.2008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.29873795452505,6.794137233017068,-0.5294919525150463
3.3008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.2972082644436895,6.7907585215225055,-0.5137757093046342
3.4007,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.2979332441539135,6.793741865757356,-0.500942102604703
3.5007,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.300245668724428,6.792945191368078,-0.4823463835169901
3.6007,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.2988231638548235,6.794172366304621,-0.47640691332888657
3.7008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.295585969136454,6.797017371072886,-0.45881845799958854
3.8007,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.294831580184464,6.798545649708324,-0.4475465602136201
3.9008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.293469758252608,6.790160204334402,-0.44196331550070345
4.0007,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.292292807072275,6.7931269532847445,-0.42598053246148754
4.1008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.293106342782064,6.795656443537282,-0.4103558681526715
4.2008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.2955477246446465,6.7946670328084116,-0.4109845591463241
4.3008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.293160421387628,6.794237622683778,-0.3944571009077923
4.4008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.298204406581108,6.792905786533404,-0.38393285563755586
4.5007,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.301567783977012,6.79224555976483,-0.36775230036689294
4.6008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.300998321349156,6.793217405602839,-0.36057337605058737
4.7007,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.297292618971377,6.79739321244578,-0.3442710411293873
4.8008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.295682619110598,6.8022229913136245,-0.3360165701693667
4.9007,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.299050240528491,6.801387845786499,-0.32119086944780767
5.0008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.3022669102915465,6.795336250143711,-0.31024739454582234
5.1008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.297229835380844,6.793380913783048,-0.2935405780543521
5.2008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.2958956414075535,6.793085464291375,-0.28688569306580963
5.3008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.293259140556556,6.8009437025429325,-0.2727350474989497
5.4008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.294308737392033,6.808314704461419,-0.2657498631835762
5.5007,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.299381248644875,6.803938094738854,-0.2535787323954901
5.6008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.30119224706251,6.796410974561659,-0.24646015236312074
5.7008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.301869734807931,6.795690047491395,-0.23615317724721327
5.8008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.2958017547818175,6.797831052016351,-0.21938086736717322
5.9008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.291189986379948,6.802680229977798,-0.21354107044628687
6.0008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.289447436028698,6.82154708789625,-0.20069515988455364
6.1008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.2923173233332275,6.81835888160141,-0.1905206843582965
6.2008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.295798148823763,6.817379630191513,-0.17508608127256428
6.3008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.291599135623898,6.819517645122185,-0.16689729091209338
6.4008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.288800513980334,6.825185588486183,-0.15155046770421543
6.5008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.292847670295162,6.824584013746546,-0.14343240480214836
6.6008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.305012666214083,6.812033360946482,-0.1272356871854644
6.7008,drive,0.0,0.1,0.0,0.4166666666666667,nan,nan,nan,6.3065856363800545,6.807410764096477,-0.11466356099630333
