t,phase,cmd_v,cmd_w,applied_v,applied_w,wo_x,wo_y,wo_yaw,mb_x,mb_y,mb_yaw
0.3005,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.08064989298989583,-0.02901439323963402,-0.8008726055195153
0.3006,drive,0.0,-0.1,nan,nan,nan,nan,nan,-0.08064989298989583,-0.02901439323963402,-0.8008726055195153
0.4007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.07876794814042681,-0.02814933887852976,-0.8013481403235603
0.5007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.07615376340989799,-0.02583894434717849,-0.8014413004117665
0.6007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.07791169179836688,-0.02627325291480974,-0.8025527497050103
0.7007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.0813671863804653,-0.025444298577726142,-0.8055990700784191
0.8008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.08453276262192844,-0.028903762419865198,-0.80959248250398
0.9008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.09448110398063692,-0.04073656181501681,-0.8283965691586168
1.0007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.09196410487613482,-0.037194147953489895,-0.844805240958897
1.1007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.09814891392971009,-0.056467001057642935,-0.8657471922090008
1.2008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.09972414754207043,-0.06400286762321328,-0.8784176760243655
1.3007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.09097953325835328,-0.06378949396041773,-0.8803814913462887
1.4007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.09932217868571369,-0.07588955585337717,-0.8972051908885939
1.5009,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.07397177144243117,-0.0036690704080304393,-0.9194912161135264
1.6008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.07261471080222703,-0.003243270447056759,-0.9287741774271951
1.7008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.07278931338009059,-0.006856110007004403,-0.9544338598337782
1.8007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.06966518832633922,-0.003791716160741851,-0.9722499473115728
1.9007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.0774363702832973,-0.02268733066933644,-0.9712011058268242
2.0007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.08042930321058217,-0.026520645115658027,-0.9877408434213427
2.1008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.08425746929404426,-0.04312801062933677,-0.9997692489216823
2.2008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.08228714032612822,-0.04039104857626215,-0.999314458412459
2.3008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.0817511870470663,-0.03732416398679278,-1.0137993623025914
2.4008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.08182981519199439,-0.031336487508583435,-1.0297126732634145
2.5007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.08395324175820829,-0.03228352099245811,-1.0511100577925847
2.6007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.08336976108399813,-0.035747328222823664,-1.0497515426852972
2.7008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.08421323516434198,-0.03692499316023411,-1.0656082337062724
2.8007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.08503813745391686,-0.034430716262846675,-1.0811323399322514
2.9007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.0848836591718245,-0.024842430280301385,-1.0963251889050578
3.0007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.08464624625256123,-0.027778896900702683,-1.0999302650819287
3.1008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.0846056475607751,-0.03565708609572745,-1.117750414422652
3.2007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.08479990153422456,-0.041473590576667885,-1.1307623751479379
3.3007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.08437247731200548,-0.037163139616896865,-1.132467157680057
3.4008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.08591476823336341,-0.03614803486973178,-1.1483192533553608
3.5007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.0875086665488079,-0.03501597642856718,-1.1678272746642018
3.6007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.08794924033563756,-0.0350784931338183,-1.1687999074140134
3.7007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.08775715923738864,-0.03503041929840603,-1.1851078874434255
3.8008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.08671209819821052,-0.032469231994694134,-1.2005438400923438
3.9007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.08475920477996052,-0.032893679899154205,-1.21720676878907
4.0008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.08518348648070784,-0.032425428190646824,-1.2189766536456608
4.1008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.08638247354188122,-0.033318863850664,-1.2364453754072764
4.2008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.08633942731545913,-0.03566974184298322,-1.2474997354212334
4.3008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.08827319401978467,-0.03624848756416462,-1.2642046237830429
4.4008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.08804062981352234,-0.034178972551376675,-1.2690040783102898
4.5008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.08793371212061435,-0.032019572630725676,-1.288411283082196
4.6008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.08742481914759437,-0.03443652694344371,-1.2995132449755074
4.7008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.08749387172398759,-0.03618349819372221,-1.3171986148084585
4.8008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.08656243865554841,-0.032309016386984225,-1.3250592315416516
4.9009,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.08849738548210095,-0.03234385512448228,-1.3407901068196142
5.0008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.09129438888286634,-0.0346748707882107,-1.3504360593991167
5.1007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.09085504701083058,-0.03424382789304085,-1.3570139934114
5.2007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.0902330553423048,-0.035467334916826576,-1.370622211497258
5.3008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.09083462153604793,-0.03449616342625089,-1.3875563093534025
5.4007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.0916163700572783,-0.034478565650180065,-1.396211001594327
5.5008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.09241163741153174,-0.03367849022798053,-1.413002383890337
5.6008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.09374919317023878,-0.03231898656182278,-1.421792274654921
5.7008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.09432281032601497,-0.03065383876990966,-1.436452026123723
5.8008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.09233067670065792,-0.03287168707972365,-1.446638570986235
5.9006,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.0945109787037337,-0.03246868754518577,-1.454533685572832
6.0008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.09692922395326986,-0.03521037633739123,-1.4707149206687846
6.1007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.09897200881734292,-0.03665558253367365,-1.4858781450216205
6.2008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.10064449040405987,-0.034553257347038124,-1.4864819890754468
6.3008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.10214443039591142,-0.03519517853273518,-1.5021709238342866
6.4008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.09827883087431127,-0.034000533778528144,-1.518625819171648
6.5007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.0994669253922203,-0.034020229937352015,-1.5197320180476728
6.6008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.10140740669975079,-0.03462185986284602,-1.5365497734887188
6.7008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.10210626069980655,-0.03404633748868361,-1.5492178888142574
6.8007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.09652395291161187,-0.03379232900414916,-1.56750398245676
6.9008,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.0957401000749824,-0.03538048888073331,-1.5724927519378489
7.0007,drive,0.0,-0.1,0.0,-0.4166666666666667,nan,nan,nan,-0.10276577798019615,-0.038060196210263963,-1.5893810926074152
7.1031,settle,0.0,0.0,0.0,0.0,nan,nan,nan,-0.10622315753166212,-0.03975176395736313,-1.5995675140111576
