t,phase,cmd_v,cmd_w,applied_v,applied_w,wo_x,wo_y,wo_yaw,mb_x,mb_y,mb_yaw
0.3005,drive,0.065,0.0,nan,nan,-0.4863890137950023,-0.1673853189014117,-0.12056771826498311,-3.3535695779059598,-2.3882407134556574,2.169180336584098
0.3006,drive,0.065,0.0,nan,nan,-0.4863890137950023,-0.1673853189014117,-0.12056771826498311,-3.3535695779059598,-2.3882407134556574,2.169180336584098
0.4008,drive,0.065,0.0,0.06483381206401313,0.0,-0.4863890137950023,-0.1673853189014117,-0.12056771826498311,-3.347541870350774,-2.389320419533411,2.1687915386462
0.5008,drive,0.065,0.0,0.06483381206401313,0.0,-0.48455567247421605,-0.16760564213189286,-0.11863670375823662,-3.349359832433552,-2.3885433090191777,2.170764116816753
0.6008,drive,0.065,0.0,0.06483381206401313,0.0,-0.47966654988222673,-0.1681914006036949,-0.11984358782495316,-3.3560663185077404,-2.3833695284884047,2.1738209930697
0.7009,drive,0.065,0.0,0.06483381206401313,0.0,-0.47365761377256416,-0.16891647211257038,-0.1203263414516398,-3.362693603568866,-2.3761459768366047,2.177578329062627
0.8008,drive,0.065,0.0,0.06483381206401313,0.0,-0.4661719597497307,-0.16982019087923633,-0.11996427623162484,-3.359561723213641,-2.362563533072725,2.1725847574846155
0.9008,drive,0.065,0.0,0.06483381206401313,0.0,-0.4586858703256719,-0.1707202958141087,-0.11936083419826655,-3.36820775293922,-2.3584268383195424,2.1721306437822627
1.0008,drive,0.065,0.0,0.06483381206401313,0.0,-0.452218015336434,-0.1714955957580648,-0.11924014579159492,-3.3739030202762677,-2.3552554337901306,2.173596752273585
1.1008,drive,0.065,0.0,0.06483381206401313,0.0,-0.4461066120964474,-0.17222779384781736,-0.11924014579159492,-3.3821976915432015,-2.348158656183802,2.174838665938893
1.2008,drive,0.065,0.0,0.06483381206401313,0.0,-0.43963875710720957,-0.17300309379177348,-0.11936083419826655,-3.3791138924099586,-2.341883412657666,2.17413106809394
1.3008,drive,0.065,0.0,0.06483381206401313,0.0,-0.4327125001018914,-0.17383291829349304,-0.11911945738492326,-3.3845363397696455,-2.3389132907497365,2.1740272164623766
1.4008,drive,0.065,0.0,0.06483381206401313,0.0,-0.4260407403052573,-0.1746310267484683,-0.11899876897825162,-3.3899427302789027,-2.3349719972565453,2.1738291288653895
1.5008,drive,0.065,0.0,0.06483381206401313,0.0,-0.4197763258268656,-0.17537963971906326,-0.11887808057157996,-3.394775085324621,-2.331622001592085,2.173598865638491
